mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__epsilon,param_model__gamma,param_model__kernel,params,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,mean_test_mae,std_test_mae,rank_test_mae,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
0.21316843032836913,0.018794564578591876,0.11524271965026855,0.014038533092359987,0.5,0.05,scale,rbf,"{'model__C': 0.5, 'model__epsilon': 0.05, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",-0.715655347816566,-0.7650071594330079,-0.7341698528087767,-0.49949077610601794,-0.752752619982029,-0.6934151512292794,0.09839571753755214,3,0.5992379481911209,0.6460617466911247,0.5895177522311388,0.5232002263727491,0.7879905705532178,0.6292016488078703,0.0885518166161654,7
0.2510685443878174,0.018281763966211992,0.1041304588317871,0.01488955925553184,0.5,0.05,auto,rbf,"{'model__C': 0.5, 'model__epsilon': 0.05, 'model__gamma': 'auto', 'model__kernel': 'rbf'}",-0.715655347816566,-0.7650071594330079,-0.7341698528087767,-0.49949077610601794,-0.752752619982029,-0.6934151512292794,0.09839571753755214,3,0.5992379481911209,0.6460617466911247,0.5895177522311388,0.5232002263727491,0.7879905705532178,0.6292016488078703,0.0885518166161654,7
0.19802842140197754,0.016141722663296155,0.0997969627380371,0.019536951254614156,0.5,0.1,scale,rbf,"{'model__C': 0.5, 'model__epsilon': 0.1, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",-0.7152020094562088,-0.764607987187847,-0.7338599411442737,-0.4973435817991297,-0.7536423648879413,-0.69293117689508,0.09924623374476149,1,0.600080583074491,0.6466805042635094,0.5901902949373988,0.5255717799427377,0.7875188319332003,0.6300083988302674,0.08772189983583885,1
0.17756376266479493,0.009481619620725502,0.09719820022583008,0.006993360372132733,0.5,0.1,auto,rbf,"{'model__C': 0.5, 'model__epsilon': 0.1, 'model__gamma': 'auto', 'model__kernel': 'rbf'}",-0.7152020094562088,-0.764607987187847,-0.7338599411442737,-0.4973435817991297,-0.7536423648879413,-0.69293117689508,0.09924623374476149,1,0.600080583074491,0.6466805042635094,0.5901902949373988,0.5255717799427377,0.7875188319332003,0.6300083988302674,0.08772189983583885,1
0.16907954216003418,0.009837414698214591,0.0822941780090332,0.005438390736046274,0.5,0.2,scale,rbf,"{'model__C': 0.5, 'model__epsilon': 0.2, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",-0.7196382367963621,-0.7641583943769189,-0.7328806387565778,-0.4999426332084333,-0.7614647497153613,-0.6956169305707306,0.09928535168449905,5,0.5970424370755336,0.6467696648844242,0.5942545662213092,0.5255084013081783,0.7836558652547267,0.6294461869488345,0.08622325003171251,3
0.16070027351379396,0.003180072222537084,0.07518854141235351,0.011988424425600138,0.5,0.2,auto,rbf,"{'model__C': 0.5, 'model__epsilon': 0.2, 'model__gamma': 'auto', 'model__kernel': 'rbf'}",-0.7196382367963621,-0.7641583943769189,-0.7328806387565778,-0.4999426332084333,-0.7614647497153613,-0.6956169305707306,0.09928535168449905,5,0.5970424370755336,0.6467696648844242,0.5942545662213092,0.5255084013081783,0.7836558652547267,0.6294461869488345,0.08622325003171251,3
0.21207356452941895,0.012367836318220896,0.10292749404907227,0.01754727737450674,1.0,0.05,scale,rbf,"{'model__C': 1.0, 'model__epsilon': 0.05, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",-0.7247125163293187,-0.7673151585537744,-0.7368891075665174,-0.5072995254834923,-0.7511567773966625,-0.6974746170659532,0.0961472269482399,11,0.599333667869629,0.647722553024541,0.5895793692212263,0.5070258275058059,0.7881527538277955,0.6263628342897996,0.09268995196516354,11
0.21144447326660157,0.017988501509691432,0.10531115531921387,0.013315802744326416,1.0,0.05,auto,rbf,"{'model__C': 1.0, 'model__epsilon': 0.05, 'model__gamma': 'auto', 'model__kernel': 'rbf'}",-0.7247125163293187,-0.7673151585537744,-0.7368891075665174,-0.5072995254834923,-0.7511567773966625,-0.6974746170659532,0.0961472269482399,11,0.599333667869629,0.647722553024541,0.5895793692212263,0.5070258275058059,0.7881527538277955,0.6263628342897996,0.09268995196516354,11
0.1889497756958008,0.01655753424983387,0.09327807426452636,0.011753786063681488,1.0,0.1,scale,rbf,"{'model__C': 1.0, 'model__epsilon': 0.1, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",-0.721903272246347,-0.7673667157506507,-0.7355673814738151,-0.5059308486310906,-0.7481650048136744,-0.6957866445831156,0.0961009965957018,7,0.6011985496025785,0.6490173994022237,0.5915327766039687,0.5102668213103727,0.7896282162431739,0.6283287526324635,0.09216740037790067,9
0.25549702644348143,0.0450517928548093,0.09213738441467285,0.01584160677389425,1.0,0.1,auto,rbf,"{'model__C': 1.0, 'model__epsilon': 0.1, 'model__gamma': 'auto', 'model__kernel': 'rbf'}",-0.721903272246347,-0.7673667157506507,-0.7355673814738151,-0.5059308486310906,-0.7481650048136744,-0.6957866445831156,0.0961009965957018,7,0.6011985496025785,0.6490173994022237,0.5915327766039687,0.5102668213103727,0.7896282162431739,0.6283287526324635,0.09216740037790067,9
