mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__subsample,params,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,mean_test_mae,std_test_mae,rank_test_mae,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
0.09913067817687989,0.00833599054236712,0.0032756805419921877,0.0006506608473064001,0.7,0.03,3,300,0.8,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}",-0.6659382362263643,-0.7298358603156944,-0.7170042821781174,-0.49248281459832277,-0.7103997356219647,-0.6631321857880927,0.0879941884885177,2,0.6397151976584783,0.6844723064267179,0.60432889202563,0.5258618260755703,0.8082970642088393,0.6525350572790471,0.0936120519576164,1
0.09489741325378417,0.00926799136306409,0.005155086517333984,0.0015279697532444353,0.7,0.03,3,300,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 1.0}",-0.6642739035307221,-0.7291735606757775,-0.7102998366099404,-0.5043913794285791,-0.7067383656283972,-0.6629754091746832,0.08208236549943272,1,0.6257485331979362,0.6901928100140768,0.6103100316400427,0.511493943576568,0.807900943387178,0.6491292523631603,0.09786902859290074,4
0.19376630783081056,0.011953967469037414,0.004169654846191406,0.0016112909140001959,0.7,0.03,3,600,0.8,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 600, 'model__subsample': 0.8}",-0.6813425468475798,-0.7335390363462329,-0.7210026452989121,-0.49740929353709373,-0.7297986983438705,-0.6726184440747378,0.08955030694576957,8,0.6272352632939922,0.6846531017843182,0.6022759708808976,0.5213840436261343,0.7996458978665972,0.6470388554903879,0.09261616571005221,6
0.17819523811340332,0.007849783577386533,0.0043182373046875,0.0013834143578298403,0.7,0.03,3,600,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 600, 'model__subsample': 1.0}",-0.6763020289966936,-0.7391579542001707,-0.7159611962040694,-0.5048333769805229,-0.7606412733774073,-0.6793791659517728,0.09164167150867394,20,0.6149358750871754,0.6850188177119703,0.6063589445423004,0.5080601143991175,0.7842713115846713,0.639729012665047,0.09166089952230892,20
0.29881997108459474,0.02776571120412756,0.004704046249389649,0.0014785708857527882,0.7,0.03,3,900,0.8,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 900, 'model__subsample': 0.8}",-0.6836608155337353,-0.7380409639550702,-0.725310108448893,-0.5020983616118273,-0.7531689733000891,-0.6804558445699229,0.09212688382712389,21,0.6238855322317776,0.6819150171565871,0.6000284218041941,0.5174944636525504,0.7886113888193385,0.6423869647328895,0.09019837594719995,18
0.2978851795196533,0.034950872197366485,0.0056880474090576175,0.0010531224363127564,0.7,0.03,3,900,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 900, 'model__subsample': 1.0}",-0.6898575040180779,-0.7455467274005174,-0.7181546557913975,-0.5117389830257849,-0.790288457459974,-0.6911172655391503,0.09561032092164724,41,0.6012617695083864,0.6815544219483362,0.6037445101704746,0.5033054541593541,0.7685368384280636,0.6316805988429229,0.08877267208489475,44
0.25624260902404783,0.01311082977924875,0.004608345031738281,0.0018777216989856928,0.7,0.03,5,300,0.8,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__n_estimators': 300, 'model__subsample': 0.8}",-0.6751706207577669,-0.7465937585170047,-0.727346114016625,-0.5018355787537827,-0.72625504147484,-0.6754402227040038,0.08997537230226392,16,0.6435874158593613,0.6739548009815151,0.5980100854222927,0.5176260714169365,0.7992949255294302,0.6464946598419071,0.09280980514197243,7
0.26689801216125486,0.021502366860890874,0.004633712768554688,0.002153669547800199,0.7,0.03,5,300,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__n_estimators': 300, 'model__subsample': 1.0}",-0.6655193868972612,-0.7497186909713319,-0.7192218696874217,-0.5097425581492641,-0.7264655477488777,-0.6741336106908312,0.08669868523096612,13,0.6464647378824866,0.6726769166445745,0.6019591516138245,0.5089536564434465,0.8003859612246882,0.646088084761804,0.0951505719377457,8
0.4796346664428711,0.020323110185257853,0.0075089454650878905,0.004209126491280363,0.7,0.03,5,600,0.8,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__n_estimators': 600, 'model__subsample': 0.8}",-0.6799290334441965,-0.7558005350284671,-0.739532112888772,-0.5133654162374108,-0.7549270429701106,-0.6887108281137915,0.0919690733384777,36,0.6359775775403942,0.6690872193661768,0.5898803719886602,0.5035782796671764,0.7846004956162838,0.6366247888357383,0.092560739175873,27
0.46358275413513184,0.016056754765118437,0.006651687622070313,0.003338326668147973,0.7,0.03,5,600,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__n_estimators': 600, 'model__subsample': 1.0}",-0.6708236663769567,-0.767819157942252,-0.7312192747060472,-0.5215078558022574,-0.768087896754795,-0.6918915703164616,0.09229519359748459,43,0.636894239371226,0.6567586930230102,0.5961338648667598,0.49415794263409096,0.7816902554706311,0.6331269990731436,0.09308553145983685,39
