mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__l1_ratio,params,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,mean_test_mae,std_test_mae,rank_test_mae,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
0.09434676170349121,0.02084552463823617,0.0016866207122802734,0.0008365079314276566,0.001,0.1,"{'model__alpha': np.float64(0.001), 'model__l1_ratio': 0.1}",-0.6471261740861683,-0.7086191047511744,-0.7070571913578385,-0.4909630279232479,-0.6114803138412473,-0.6330491623919353,0.08004979904271177,14,0.667393750575789,0.7052846546481308,0.6154157154861264,0.5341865915402995,0.8376934410641879,0.6719948306629068,0.10077471791288915,15
0.06280293464660644,0.015683525299566663,0.0027122020721435545,0.0028541542348671754,0.001,0.3,"{'model__alpha': np.float64(0.001), 'model__l1_ratio': 0.3}",-0.6461280219038855,-0.7081865745625839,-0.7066619702193296,-0.49077847948469333,-0.6113293894911925,-0.6326168871323371,0.07993409058758433,12,0.6681497142145725,0.7059081231807784,0.6156947365656378,0.5343411923091981,0.8380662755706698,0.6724320083681713,0.10085820766730015,14
0.03507013320922851,0.004237794077998716,0.0015716552734375,0.0006134305903140177,0.001,0.5,"{'model__alpha': np.float64(0.001), 'model__l1_ratio': 0.5}",-0.6456393350240044,-0.7080600992465679,-0.7062791561030177,-0.4907667398142894,-0.6111122360679776,-0.6323715132511715,0.07983859410455171,10,0.6682902759228528,0.7061971311796955,0.6159695621837133,0.5342356696836636,0.8383733565853535,0.6726131991110558,0.10097508625276976,12
0.02849745750427246,0.006568179721112455,0.0017654895782470703,0.0010880025946021904,0.001,0.7,"{'model__alpha': np.float64(0.001), 'model__l1_ratio': 0.7}",-0.6453749970113499,-0.708137783636373,-0.7059026956067751,-0.4907187367745237,-0.6109883258435378,-0.6322245077745119,0.07979861506417264,9,0.6683410808958584,0.7061982590289982,0.6162125375947543,0.5341826990572554,0.8385855935611883,0.6727040340276109,0.10103171746828629,10
0.023583316802978517,0.010333418706379232,0.0016298294067382812,0.0008950214533310778,0.001,0.9,"{'model__alpha': np.float64(0.001), 'model__l1_ratio': 0.9}",-0.645150815324084,-0.7079831669914665,-0.7055917061210976,-0.4907253165830789,-0.6109407770026152,-0.6320783564044683,0.07970460610119029,8,0.6684194443550554,0.7063699944053994,0.6163733903741566,0.5340957301924003,0.8387769565760227,0.6728071031806069,0.10111114715087233,8
0.020117568969726562,0.0063576737203366535,0.0016963481903076172,0.0008854837397013995,0.004641588833612777,0.1,"{'model__alpha': np.float64(0.004641588833612777), 'model__l1_ratio': 0.1}",-0.644756156308762,-0.7083579090452929,-0.7053225862121427,-0.49170802328338076,-0.6141979508179604,-0.6328685251335078,0.07920155484960939,13,0.6684692245123744,0.7066447809522258,0.6175982797733459,0.5328878739034826,0.8383911711010924,0.6727982660485042,0.10120009257945989,9
0.012656354904174804,0.0033295194183309658,0.0011377811431884765,0.00010984670245726997,0.004641588833612777,0.3,"{'model__alpha': np.float64(0.004641588833612777), 'model__l1_ratio': 0.3}",-0.6436671586603179,-0.7080538157145411,-0.7040243164085905,-0.49171740278781917,-0.6148515892426054,-0.6324628565627748,0.07884162799077901,11,0.6688941719979369,0.707011695849216,0.6186471482244242,0.5323499583923454,0.838888545787999,0.6731583040503843,0.10141913458641812,5
0.01127920150756836,0.0012618366454375893,0.0012097835540771484,9.569985151622543e-05,0.004641588833612777,0.5,"{'model__alpha': np.float64(0.004641588833612777), 'model__l1_ratio': 0.5}",-0.642270253661394,-0.7070340179187242,-0.7033183477105747,-0.49151020869035406,-0.614743543607034,-0.6317752743176162,0.0785580077608538,7,0.6692033331779692,0.7077156936980791,0.6193519384426762,0.5320291856960155,0.8394259144794817,0.6735452130988444,0.10165291711111808,3
0.01067976951599121,0.001927307819959097,0.001987648010253906,0.00110515359503549,0.004641588833612777,0.7,"{'model__alpha': np.float64(0.004641588833612777), 'model__l1_ratio': 0.7}",-0.6416997717501265,-0.7063917196770049,-0.7027438668849189,-0.49152477882720214,-0.6139618765499003,-0.6312644027378306,0.07834393961861338,5,0.6690888684844147,0.7079649850226624,0.6202211217387326,0.5319230781336826,0.8397547183923461,0.6737905543543676,0.10171545234263525,2
0.011133670806884766,0.003077816478483531,0.0011719703674316407,9.759944608538708e-05,0.004641588833612777,0.9,"{'model__alpha': np.float64(0.004641588833612777), 'model__l1_ratio': 0.9}",-0.6413736719345585,-0.7058502346923817,-0.7022492629901403,-0.4915927409063349,-0.6121521802442037,-0.6306436181535238,0.07819925490310174,4,0.6689499497378908,0.7080402581017322,0.6206002798574024,0.5318687815076277,0.8400086164543895,0.6738935771318085,0.10178001735967902,1
0.010699129104614258,0.0011280266020047569,0.0014954566955566405,0.0006292017013028415,0.021544346900318832,0.1,"{'model__alpha': np.float64(0.021544346900318832), 'model__l1_ratio': 0.1}",-0.6414480414131881,-0.7078358932006822,-0.703013267442989,-0.4954712811503201,-0.6227747932170036,-0.6341086552848367,0.07692359288591857,16,0.669573118843982,0.7084455828448029,0.621990392522648,0.5275001650008728,0.8381125534326621,0.6731243625289935,0.10227648103869494,6
