mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,mean_test_mae,std_test_mae,rank_test_mae,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
2.154002475738525,0.2838516986771864,0.23369884490966797,0.13344245181851155,,sqrt,1,300,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",-0.6588808259360718,-0.7475139030015872,-0.7133106346815699,-0.5197213520975397,-0.7282305564504431,-0.6735314544334423,0.08236500001185733,46,0.6509891743054135,0.6760382701445652,0.6117555689497072,0.5047611056413904,0.8006090070769201,0.6488306252235992,0.09582502673587641,44
4.039832830429077,0.33079000163368155,0.2916706085205078,0.10125147431796146,,sqrt,1,600,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 600}",-0.6574809138655319,-0.7454725873612473,-0.7140238965964701,-0.5169953888636505,-0.7267785968120234,-0.6721502766997846,0.08294822971912023,45,0.65210351745584,0.6780204900507135,0.6126097907942999,0.5076895584956392,0.8013738241638264,0.6503594361920638,0.09523996096605823,39
1.5776024341583252,0.31454247191103085,0.25023961067199707,0.018860532308012105,,sqrt,2,300,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 300}",-0.658690644867648,-0.7377837416077374,-0.7146032815314667,-0.5195887193171694,-0.7034004895904485,-0.6668133753828941,0.07797482034927508,35,0.6497437161303493,0.6819383102036929,0.6117809566969652,0.5070942568065069,0.8115021249104079,0.6524118729495844,0.0989512190361749,21
3.5821128845214845,0.3645709487500139,0.3181606769561768,0.09700882641126499,,sqrt,2,600,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 600}",-0.6560064074452053,-0.7381099823880712,-0.7125030329546321,-0.5189516700181649,-0.7022735657376438,-0.6655689317087435,0.077974748923674,31,0.6502758172808061,0.6826199674355391,0.6133199369222362,0.5059781323705086,0.8122087197290784,0.6528805147476338,0.09942036578451471,15
1.4074511528015137,0.3160316226593706,0.19166784286499022,0.04287846633271393,,sqrt,4,300,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__n_estimators': 300}",-0.6526332326756915,-0.7351470911191736,-0.7093868068763077,-0.5180304634363853,-0.6666995740803119,-0.6563794336375739,0.0751998701580569,6,0.6517553070615189,0.6856951755964134,0.6151800548289248,0.5035820654132701,0.8240928420755419,0.6560610889951338,0.1039735547887101,4
2.68214693069458,0.1886976397335162,0.3854515075683594,0.13203638273381327,,sqrt,4,600,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__n_estimators': 600}",-0.6518539878122221,-0.7356857005989252,-0.7084339062929053,-0.514708344495763,-0.668339694134485,-0.6558043266668603,0.07646139333327644,3,0.6525043211848667,0.6862717770667873,0.6157445875450174,0.5080071457781838,0.8239739821200526,0.6573003627389815,0.10262337681328111,2
6.452435827255249,0.26117427978610197,0.36977581977844237,0.18507200896245588,,0.6,1,300,"{'model__max_depth': None, 'model__max_features': 0.6, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",-0.6529388947324894,-0.7517246403614476,-0.725448683404496,-0.5270849107378306,-0.7490070363085608,-0.6812408331089649,0.0849465803038676,52,0.6562243704763528,0.6696311334617489,0.6009509204434345,0.49601820990212697,0.7907276366211959,0.6427104541809718,0.09599886290332862,52
12.793241167068482,0.42101188748095836,0.6989569664001465,0.150378281987836,,0.6,1,600,"{'model__max_depth': None, 'model__max_features': 0.6, 'model__min_samples_leaf': 1, 'model__n_estimators': 600}",-0.6525030024841497,-0.7503398389491723,-0.7233797636105656,-0.5257640340920263,-0.7448370673077644,-0.6793647412887356,0.08435181375071521,51,0.6568948747037742,0.6703901275626453,0.6023120561732712,0.4937577789717964,0.792274313942869,0.6431258302708712,0.09711310681678209,51
6.06809515953064,0.36341598717189105,0.3983903884887695,0.14348689337267834,,0.6,2,300,"{'model__max_depth': None, 'model__max_features': 0.6, 'model__min_samples_leaf': 2, 'model__n_estimators': 300}",-0.6523046243778644,-0.7501233329687632,-0.7233339918178288,-0.5191833436757403,-0.7134092960704297,-0.6716709177821253,0.08269638500762048,42,0.656023683422426,0.6720037865588323,0.6007241809678481,0.5034651672587105,0.8062394373813593,0.6476912511178352,0.09879789989564204,45
11.615665340423584,0.5999188757480021,0.4291368007659912,0.10849581267788702,,0.6,2,600,"{'model__max_depth': None, 'model__max_features': 0.6, 'model__min_samples_leaf': 2, 'model__n_estimators': 600}",-0.6563628073576527,-0.7481425840796423,-0.7220656860118475,-0.5218798897948954,-0.7113258654867917,-0.6719553665461658,0.08078533164312461,44,0.6535808705761594,0.6742321547361771,0.6014671540025285,0.49911000507104286,0.807155384904502,0.6471091138580819,0.10037856002012656,46
4.832928943634033,0.2098271791376892,0.3421621799468994,0.16165791690461567,,0.6,4,300,"{'model__max_depth': None, 'model__max_features': 0.6, 'model__min_samples_leaf': 4, 'model__n_estimators': 300}",-0.656779578298931,-0.7409066907754861,-0.7190057754453466,-0.51820985830231,-0.677523742997413,-0.6624851291638973,0.07799819456957145,21,0.6515425789577918,0.6792117002174134,0.602675757473659,0.5009847152798679,0.8194670963445865,0.6507763696546637,0.10393933325224766,33
