mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_neighbors,param_model__p,param_model__weights,params,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,mean_test_mae,std_test_mae,rank_test_mae,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
0.006000900268554687,0.0004038118384152638,0.05127172470092774,0.002629741327130552,3,1,uniform,"{'model__n_neighbors': 3, 'model__p': 1, 'model__weights': 'uniform'}",-0.7718526043984355,-0.8264217630034812,-0.8345821936265011,-0.5863964727976501,-0.7302968890685813,-0.7499099845789299,0.09014017510274916,11,0.5365932336400203,0.6117703756556924,0.4927253227256234,0.38553752402125996,0.7905628327990301,0.5634378577683252,0.13512306373976538,13
0.006837654113769531,0.0005211955869088247,0.05696382522583008,0.0035138582905360934,3,1,distance,"{'model__n_neighbors': 3, 'model__p': 1, 'model__weights': 'distance'}",-0.7729770947430836,-0.8265298210433574,-0.833830845433243,-0.5854491267906876,-0.7318287644753848,-0.7501231304971513,0.09035427926407784,12,0.5349876637688319,0.6118748812660477,0.49295006995340773,0.3859749971681834,0.790855531013005,0.5633286286338951,0.13515612628094875,14
0.008817481994628906,0.0012051923517129677,0.019134330749511718,0.015291632240861452,3,2,uniform,"{'model__n_neighbors': 3, 'model__p': 2, 'model__weights': 'uniform'}",-0.8027337383315515,-0.8473693025574411,-0.9044805116316361,-0.6319234603153613,-0.7814706260027415,-0.7935955277677463,0.09116520831005205,16,0.5177433540523972,0.5940388479196812,0.40999399188495345,0.3197698102618195,0.7650681417070808,0.5213228291651865,0.15344701942427064,15
0.007372474670410157,0.0017974013629621357,0.0073642730712890625,0.0008181386259199003,3,2,distance,"{'model__n_neighbors': 3, 'model__p': 2, 'model__weights': 'distance'}",-0.8039898560963812,-0.8457864712238072,-0.905647786365726,-0.6317851726643126,-0.7802044336330995,-0.7934827439966653,0.09137778079716417,15,0.5162051585146396,0.595299505910311,0.40804379302717686,0.31882654951584655,0.7662666116761752,0.5209283237288298,0.15448773477102593,16
0.008085680007934571,0.0018495962727752093,0.020598173141479492,0.0046195767788613906,5,1,uniform,"{'model__n_neighbors': 5, 'model__p': 1, 'model__weights': 'uniform'}",-0.7322318754710821,-0.786990099614987,-0.7888648071601305,-0.5680061318051175,-0.708958731288068,-0.717010329067877,0.08069573571307025,7,0.5765826476886715,0.6395957318661577,0.5410013601690995,0.4269864785656675,0.8031150445105435,0.5974562525600279,0.12389841042049113,10
0.007054710388183593,0.0012890184616598168,0.022257566452026367,0.0060603306835667215,5,1,distance,"{'model__n_neighbors': 5, 'model__p': 1, 'model__weights': 'distance'}",-0.7330973807262761,-0.7876449852908713,-0.7881320459025015,-0.568410118612599,-0.7086204017720042,-0.7171809864608505,0.08057122849250736,8,0.5756661246574417,0.6399510185574547,0.5413234465450776,0.4276502082868334,0.8038943708758256,0.5976970337845267,0.12400161790056305,9
0.00699467658996582,0.0014391789070337135,0.006918954849243164,0.0007672489524525666,5,2,uniform,"{'model__n_neighbors': 5, 'model__p': 2, 'model__weights': 'uniform'}",-0.7486325341352023,-0.813578059591436,-0.8634681889763967,-0.5925596641440993,-0.736578166030731,-0.7509633225755732,0.09152271255101788,14,0.5824612604318573,0.6217357770204828,0.45995952823616026,0.39846246994776846,0.7930411934815368,0.5711320458235611,0.13719101255463306,11
0.009125804901123047,0.0028059524999121815,0.006607723236083984,0.00023076600163252688,5,2,distance,"{'model__n_neighbors': 5, 'model__p': 2, 'model__weights': 'distance'}",-0.7508788817173608,-0.8126781729950403,-0.8626253203252399,-0.5918192357197881,-0.7353511358759997,-0.7506705493266856,0.09148473512868689,13,0.5797559101729105,0.621868063090347,0.4596495383135385,0.40033218457923014,0.7934026702655295,0.5710016732843112,0.1368602221765288,12
0.009266853332519531,0.0032739144697101043,0.020853376388549803,0.0023391389933847943,9,1,uniform,"{'model__n_neighbors': 9, 'model__p': 1, 'model__weights': 'uniform'}",-0.6974764046403737,-0.7687988394413694,-0.7627062760503046,-0.5487403276535103,-0.6824019145179286,-0.6920247524606973,0.07942654987162844,4,0.6129198141589365,0.6597986026789271,0.5750966396518489,0.45188819800769775,0.8156366268052077,0.6230679762605236,0.11843865492518772,4
0.009003353118896485,0.0030767025352673246,0.02349367141723633,0.003976691632115499,9,1,distance,"{'model__n_neighbors': 9, 'model__p': 1, 'model__weights': 'distance'}",-0.6972213552774362,-0.7698788859967922,-0.7604699855634239,-0.547812414276089,-0.6811199401837603,-0.6913005162595003,0.07960717498953104,3,0.6126334790736132,0.6604818827235637,0.5760048966670717,0.4556780743532025,0.8164985283724734,0.6242593722379849,0.11760210305788676,3
0.007584667205810547,0.002182739561397492,0.00875697135925293,0.0015354729028653942,9,2,uniform,"{'model__n_neighbors': 9, 'model__p': 2, 'model__weights': 'uniform'}",-0.7217564299112704,-0.7823937340578908,-0.8125147460764288,-0.5652281994497824,-0.717951211625747,-0.7199688642242239,0.08533878868308625,9,0.5997059361992054,0.6512115050292488,0.5113956283090386,0.4420906783757699,0.8059703151145692,0.6020748126055665,0.12474857893467817,8
0.009341621398925781,0.0029835945106752595,0.008531665802001953,0.0018300006025378927,9,2,distance,"{'model__n_neighbors': 9, 'model__p': 2, 'model__weights': 'distance'}",-0.722903359516277,-0.7827493618581419,-0.8134038801071197,-0.5638524634120368,-0.7172713345371307,-0.7200360798861413,0.08609261178295921,10,0.598982344648352,0.650455981034751,0.5102012310695094,0.44568297529936196,0.806417701253277,0.6023480466610502,0.12410085046731763,7
